Car Name,Distance,Owner,Fuel,Location,Drive,Type,car_age
Maruti S PRESSO,3878,1,PETROL,HR-98,Manual,HatchBack,2
Hyundai Xcent,32041,1,PETROL,TN-22,Manual,Sedan,6
Tata Safari,96339,1,DIESEL,TS-08,Automatic,SUV,3
Maruti Vitara Brezza,51718,1,DIESEL,WB-24,Manual,SUV,5
Tata Tiago,19811,1,PETROL,HR-51,Manual,HatchBack,3
Maruti Swift,70129,1,PETROL,MH-14,Manual,HatchBack,7
Renault Kwid,31945,2,PETROL,UP-32,Automatic,HatchBack,3
Hyundai Grand i10,39950,1,PETROL,HR-26,Manual,HatchBack,9
Maruti Swift,56697,1,DIESEL,KA-04,Automatic,HatchBack,6
Maruti IGNIS,38184,2,CNG,PB-10,Automatic,HatchBack,6
Maruti S PRESSO,30347,1,PETROL,MH-48,Automatic,HatchBack,5
Honda Brio,42375,2,PETROL,GJ-05,Manual,HatchBack,12
Hyundai Elite i20,47231,1,PETROL,GJ-27,Manual,HatchBack,5
Maruti Baleno,60042,1,PETROL,MH-47,Manual,HatchBack,6
Honda WR-V,93518,1,DIESEL,KA-01,Manual,SUV,7
Honda Amaze,33245,1,PETROL,MH-01,Manual,Sedan,5
Maruti Alto 800,43717,1,PETROL,GJ-01,Manual,HatchBack,8
Maruti Celerio,1863,1,PETROL,PB-91,Automatic,HatchBack,3
Ford Ecosport,50078,1,PETROL,TN-19,Manual,SUV,5
Maruti Ciaz,63856,1,PETROL,UP-16,Manual,Sedan,6
Renault Kwid,72337,1,PETROL,KA-19,Manual,HatchBack,6
Maruti Swift,14567,1,PETROL,WB-02,Manual,HatchBack,3
Hyundai Elite i20,36778,1,CNG,DL-8C,Manual,HatchBack,6
Hyundai Elite i20,50419,1,PETROL,DL-12,Manual,HatchBack,9
Honda City,45257,1,DIESEL,HR-51,Manual,Sedan,14
Maruti Swift,40368,1,PETROL,HR-26,Manual,HatchBack,8
Datsun Redi Go,37488,1,PETROL,CH-01,Manual,HatchBack,8
Tata TIAGO NRG,43253,1,PETROL,KA-53,Manual,HatchBack,5
Renault Kwid,6587,1,PETROL,KA-02,Manual,HatchBack,2
Honda Amaze,37566,2,PETROL,TS-13,Manual,Sedan,5
Hyundai Santro Xing,33952,2,PETROL,KL-22,Manual,HatchBack,13
Ford FREESTYLE,31679,1,PETROL,KL-09,Manual,SUV,6
Maruti Swift,98221,2,CNG,HR-10,Manual,HatchBack,6
Maruti Baleno,45836,1,PETROL,UP-16,Manual,HatchBack,8
Honda Amaze,75883,1,CNG,MH-05,Manual,Sedan,6
Maruti Dzire,27480,1,PETROL,GJ-01,Manual,Sedan,3
Maruti Ciaz,61250,1,DIESEL,TS-07,Manual,Sedan,7
Maruti Alto,16516,1,CNG,DL-11,Manual,HatchBack,3
Hyundai NEW SANTRO,57656,1,CNG,MH-46,Manual,HatchBack,5
Maruti Baleno,33669,2,PETROL,MH-12,Automatic,HatchBack,7
Maruti Alto 800,36722,1,PETROL,MH-04,Manual,HatchBack,6
Honda City,87722,1,DIESEL,KA-05,Manual,Sedan,14
Maruti Celerio,62663,2,PETROL,UP-16,Automatic,HatchBack,9
Honda WR-V,38022,1,PETROL,MH-04,Manual,SUV,7
Maruti Swift,28956,1,PETROL,UP-14,Manual,HatchBack,5
Hyundai Grand i10,71686,1,PETROL,HR-16,Manual,HatchBack,7
Maruti Alto K10,45785,1,PETROL,DL-9C,Manual,HatchBack,7
Ford Endeavour,94389,1,DIESEL,GJ-02,Manual,Lux_SUV,5
Maruti Ciaz,30052,1,PETROL,DL-9C,Manual,Sedan,7
Honda Amaze,99520,1,PETROL,HR-26,Automatic,Sedan,5
Maruti Swift Dzire,69372,1,PETROL,MH-48,Automatic,Sedan,11
Maruti Wagon R 1.0,21799,1,PETROL,MH-04,Manual,HatchBack,10
Maruti Swift,69045,1,PETROL,UP-14,Manual,HatchBack,10
Maruti Alto,26533,1,CNG,RJ-02,Manual,HatchBack,4
Hyundai GRAND I10 NIOS,44937,1,CNG,HR-51,Manual,HatchBack,4
Hyundai Grand i10,75370,1,PETROL,TN-22,Manual,HatchBack,7
Honda City,4756,1,PETROL,MH-47,Manual,Sedan,7
Maruti Alto K10,39085,1,PETROL,DL-12,Manual,HatchBack,12
Maruti Celerio X,32891,1,PETROL,MH-12,Automatic,HatchBack,6
Hyundai Grand i10,35775,1,PETROL,GJ-01,Manual,HatchBack,7
Toyota URBAN CRUISER,37618,1,PETROL,BR-01,Automatic,SUV,3
Ford Ecosport,67486,3,PETROL,MH-02,Automatic,SUV,9
Hyundai Grand i10,15290,2,PETROL,HR-51,Manual,HatchBack,6
Honda Amaze,97313,2,PETROL,DL-14,Manual,Sedan,7
Mahindra XUV500,105290,1,DIESEL,TS-07,Manual,Lux_SUV,6
Hyundai Elite i20,65354,1,PETROL,TN-02,Manual,HatchBack,10
Hyundai Verna,28991,1,PETROL,MH-12,Manual,Sedan,7
Honda WR-V,72139,1,CNG,DL-8C,Manual,SUV,5
Maruti Alto,8502,1,CNG,MH-12,Manual,HatchBack,2
Maruti Alto K10,48617,1,PETROL,KL-27,Manual,HatchBack,6
Hyundai VENUE,50050,1,PETROL,UP-78,Automatic,SUV,5
Tata NEXON,69430,1,PETROL,TN-14,Manual,SUV,7
Maruti Baleno,68815,1,PETROL,MH-01,Automatic,HatchBack,8
Maruti Baleno,64759,1,PETROL,MH-12,Manual,HatchBack,8
Maruti Wagon R 1.0,40417,1,PETROL,DL-9C,Automatic,HatchBack,8
Maruti Baleno,68101,1,PETROL,TS-07,Manual,HatchBack,6
Honda City,64853,2,PETROL,KL-45,Manual,Sedan,5
Mahindra KUV 100 NXT,51642,1,DIESEL,UP-14,Manual,SUV,7
Maruti Alto K10,24502,2,PETROL,WB-90,Manual,HatchBack,6
Hyundai Elite i20,60350,1,PETROL,TS-07,Manual,HatchBack,8
Maruti Alto 800,71000,2,PETROL,PB-10,Manual,HatchBack,10
Toyota YARIS,66161,2,PETROL,KA-01,Manual,Sedan,3
Maruti Wagon R 1.0,64154,1,PETROL,UP-32,Manual,HatchBack,9
Mahindra XUV 3OO,21270,1,DIESEL,GJ-01,Automatic,SUV,4
Hyundai Santro Xing,90382,2,PETROL,AP-23,Manual,HatchBack,14
Honda City,49423,1,PETROL,KA-02,Manual,Sedan,6
Hyundai Elite i20,47227,1,PETROL,KL-41,Manual,HatchBack,8
Renault TRIBER,24236,1,PETROL,PB-70,Manual,SUV,3
Hyundai Tucson New,86933,2,PETROL,UP-14,Manual,Lux_SUV,6
Mahindra TUV300,58157,1,DIESEL,TN-09,Manual,SUV,7
Toyota Glanza,35636,1,PETROL,MH-01,Automatic,HatchBack,4
Maruti Ciaz,45639,2,PETROL,MH-03,Manual,Sedan,7
Honda City,53355,1,PETROL,DL-1C,Manual,Sedan,8
Maruti Baleno,88993,1,PETROL,MP-09,Automatic,HatchBack,7
Maruti Eeco,2075,1,CNG,KL-01,Manual,SUV,2
Renault Duster,59943,1,PETROL,DL-1C,Manual,SUV,10
